cohort,number,url,title,body_text,collector_external_issue_reference
about_1y,23857,https://github.com/argoproj/argo-cd/pull/23857,fix: remove tracking annotation from git manifest when performing hydration,"Fixes #23815
Checklist:

 Either (a) I've created an enhancement proposal and discussed it with the community, (b) this is a bug fix, or (c) this does not need to be in the release notes.
 The title of the PR states what changed and the related issues number (used for the release note).
 The title of the PR conforms to the Toolchain Guide
 I've included ""Closes [ISSUE #]"" or ""Fixes [ISSUE #]"" in the description to automatically close the associated issue.
 I've updated both the CLI and UI to expose my feature, or I plan to submit a second PR with them.
 Does this PR require documentation updates?
 I've updated documentation as required by this PR.
 I have signed off all my commits as required by DCO
 I have written unit and/or e2e tests for my change. PRs without these are unlikely to be merged.
 My build is green (troubleshooting builds).
 My new feature complies with the feature status guidelines.
 I have added a brief description of why this PR is necessary and/or what this PR solves.
 Optional. My organization is added to USERS.md.
 Optional. For bug fixes, I've indicated what older releases this fix should be cherry-picked into (this may or may not happen depending on risk/complexity).",1
about_1y,23957,https://github.com/argoproj/argo-cd/pull/23957,docs: 3.0 migration - added remediation for explicitly syncing apps that use ApplyOutOfSyncOnly=true (cherry-pick #23918),"Cherry-picked docs: 3.0 migration - added remediation for explicitly syncing apps that use ApplyOutOfSyncOnly=true (#23918)
Signed-off-by: reggie-k regina.voloshin@codefresh.io",0
about_1y,23974,https://github.com/argoproj/argo-cd/pull/23974,chore(deps): update dependency pymdown-extensions to v10.16.1,"This PR contains the following updates:



Package
Update
Change
Age
Adoption
Passing
Confidence
OpenSSF




pymdown-extensions
patch
==10.16 -> ==10.16.1









Release Notes

facelessuser/pymdown-extensions (pymdown-extensions)
v10.16.1: 10.6.1
Compare Source
10.16.1

FIX: Inefficient regular expression pattern for figure caption numbers.



Configuration
📅 Schedule: Branch creation - At any time (no schedule defined), Automerge - At any time (no schedule defined).
🚦 Automerge: Disabled by config. Please merge this manually once you are satisfied.
♻ Rebasing: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.
🔕 Ignore: Close this PR and you won't be reminded about this update again.


 If you want to rebase/retry this PR, check this box


This PR was generated by Mend Renovate. View the repository job log.",0
about_1y,24012,https://github.com/argoproj/argo-cd/pull/24012,chore(deps): bump github.com/prometheus/client_golang from 1.22.0 to 1.23.0,"Bumps github.com/prometheus/client_golang from 1.22.0 to 1.23.0.

Release notes
Sourced from github.com/prometheus/client_golang's releases.

v1.23.0 - 2025-07-30

[CHANGE] Minimum required Go version is now 1.23, only the two latest Go versions are supported from now on. #1812
[FEATURE] Add WrapCollectorWith and WrapCollectorWithPrefix #1766
[FEATURE] Add exemplars for native histograms #1686
[ENHANCEMENT] exp/api: Bubble up status code from writeResponse #1823
[ENHANCEMENT] collector/go: Update runtime metrics for Go v1.23 and v1.24 #1833
[BUGFIX] exp/api: client prompt return on context cancellation #1729



... (truncated)


Changelog
Sourced from github.com/prometheus/client_golang's changelog.

1.23.0 / 2025-07-30

[CHANGE] Minimum required Go version is now 1.23, only the two latest Go versions are supported from now on. #1812
[FEATURE] Add WrapCollectorWith and WrapCollectorWithPrefix #1766
[FEATURE] Add exemplars for native histograms #1686
[ENHANCEMENT] exp/api: Bubble up status code from writeResponse #1823
[ENHANCEMENT] collector/go: Update runtime metrics for Go v1.23 and v1.24 #1833
[BUGFIX] exp/api: client prompt return on context cancellation #1729




Commits

e4b2208 Cut v1.23.0 (#1848)
d9492af cut v1.23.0-rc.1 (#1842)
aeae8a0 Cut v1.23.0-rc.0 (#1837)
b157309 Update common Prometheus files (#1832)
a704e28 build(deps): bump the github-actions group with 3 updates (#1826)
c774311 Fix errNotImplemented reference (#1835)
db4db7b Update runtime metrics for Go v1.23 and v1.24 (#1833)
99d380e Update common Prometheus files (#1831)
f3ef320 Merge pull request #1828 from prometheus/dependabot/go_modules/exp/github.com...
520c91a build(deps): bump github.com/prometheus/common in /exp
Additional commits viewable in compare view




Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase.


Dependabot commands and options

You can trigger Dependabot actions by commenting on this PR:

@dependabot rebase will rebase this PR
@dependabot recreate will recreate this PR, overwriting any edits that have been made to it
@dependabot merge will merge this PR after your CI passes on it
@dependabot squash and merge will squash and merge this PR after your CI passes on it
@dependabot cancel merge will cancel a previously requested merge and block automerging
@dependabot reopen will reopen this PR if it is closed
@dependabot close will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
@dependabot show <dependency name> ignore conditions will show all of the ignore conditions of the specified dependency
@dependabot ignore this major version will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this minor version will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this dependency will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)",1
about_1y,24066,https://github.com/argoproj/argo-cd/pull/24066,fix: revert kubeVersion change to preserve trailing `+`,"Reverts #22650 until helm/helm#31091 is released. This preserves the backward compatibility to older Helm versions.
This will use the k8s libs to correctly parse the kubernetes version instead of the original method fixing #22606
Closes #23778",1
about_1y,24087,https://github.com/argoproj/argo-cd/pull/24087,fix(dashboard): Allow quantile label as float and integer,"Depending on which Prometheus version is used, the label values of quantile is different.
Currently only the old format is supported by the dashboard resulting in a broken panel on newer versions.
With this PR both values (integer & float) are filtered to show the panel on either version.
ref: https://prometheus.io/docs/prometheus/2.54/feature_flags/#native-histograms
Checklist:

 Either (a) I've created an enhancement proposal and discussed it with the community, (b) this is a bug fix, or (c) this does not need to be in the release notes.
 The title of the PR states what changed and the related issues number (used for the release note).
 The title of the PR conforms to the Title of the PR
 I've included ""Closes [ISSUE #]"" or ""Fixes [ISSUE #]"" in the description to automatically close the associated issue.
 I've updated both the CLI and UI to expose my feature, or I plan to submit a second PR with them.
 Does this PR require documentation updates?
 I've updated documentation as required by this PR.
 I have signed off all my commits as required by DCO
 I have written unit and/or e2e tests for my change. PRs without these are unlikely to be merged.
 My build is green (troubleshooting builds).
 My new feature complies with the feature status guidelines.
 I have added a brief description of why this PR is necessary and/or what this PR solves.
 Optional. My organization is added to USERS.md.
 Optional. For bug fixes, I've indicated what older releases this fix should be cherry-picked into (this may or may not happen depending on risk/complexity).",0
about_1y,24088,https://github.com/argoproj/argo-cd/pull/24088,"fix: ""admin cluster generate-spec"" fails on missing ""argocd-cm"" (#10429)","when calling ""CreateCluster"" in ""admin cluster generate-spec"" context, there is no argocd-cm avilable.
closes #10429

Checklist:

 Either (a) I've created an enhancement proposal and discussed it with the community, (b) this is a bug fix, or (c) this does not need to be in the release notes.
 The title of the PR states what changed and the related issues number (used for the release note).
 The title of the PR conforms to the Toolchain Guide
 I've included ""Closes [ISSUE #]"" or ""Fixes [ISSUE #]"" in the description to automatically close the associated issue.
 I've updated both the CLI and UI to expose my feature, or I plan to submit a second PR with them.
 Does this PR require documentation updates?
 I've updated documentation as required by this PR.
 I have signed off all my commits as required by DCO
 I have written unit and/or e2e tests for my change. PRs without these are unlikely to be merged.
 My build is green (troubleshooting builds).
 My new feature complies with the feature status guidelines.
 I have added a brief description of why this PR is necessary and/or what this PR solves.
 Optional. My organization is added to USERS.md.
 Optional. For bug fixes, I've indicated what older releases this fix should be cherry-picked into (this may or may not happen depending on risk/complexity).",1
about_1y,24090,https://github.com/argoproj/argo-cd/pull/24090,chore: update Go to 1.24.6,"Security fixes and bug fixes to the runtime.
See Go milestones for more detailed list of changes:

Go 1.24.5 milestone
Go 1.24.6 milestone

Separate PRs coming for release branches 2.14, 3.0 and 3.1.

Checklist:

 Either (a) I've created an enhancement proposal and discussed it with the community, (b) this is a bug fix, or (c) this does not need to be in the release notes.
 The title of the PR states what changed and the related issues number (used for the release note).
 The title of the PR conforms to the Title of the PR
 I've included ""Closes [ISSUE #]"" or ""Fixes [ISSUE #]"" in the description to automatically close the associated issue.
 I've updated both the CLI and UI to expose my feature, or I plan to submit a second PR with them.
 Does this PR require documentation updates?
 I've updated documentation as required by this PR.
 I have signed off all my commits as required by DCO
 I have written unit and/or e2e tests for my change. PRs without these are unlikely to be merged.
 My build is green (troubleshooting builds).
 My new feature complies with the feature status guidelines.
 I have added a brief description of why this PR is necessary and/or what this PR solves.
 Optional. My organization is added to USERS.md.
 Optional. For bug fixes, I've indicated what older releases this fix should be cherry-picked into (this may or may not happen depending on risk/complexity).",0
about_1y,24097,https://github.com/argoproj/argo-cd/pull/24097,chore: add @nitishfy for v3.2 release champion,"Volunteering for release champion for v3.2
Checklist:

 Either (a) I've created an enhancement proposal and discussed it with the community, (b) this is a bug fix, or (c) this does not need to be in the release notes.
 The title of the PR states what changed and the related issues number (used for the release note).
 The title of the PR conforms to the Title of the PR
 I've included ""Closes [ISSUE #]"" or ""Fixes [ISSUE #]"" in the description to automatically close the associated issue.
 I've updated both the CLI and UI to expose my feature, or I plan to submit a second PR with them.
 Does this PR require documentation updates?
 I've updated documentation as required by this PR.
 I have signed off all my commits as required by DCO
 I have written unit and/or e2e tests for my change. PRs without these are unlikely to be merged.
 My build is green (troubleshooting builds).
 My new feature complies with the feature status guidelines.
 I have added a brief description of why this PR is necessary and/or what this PR solves.
 Optional. My organization is added to USERS.md.
 Optional. For bug fixes, I've indicated what older releases this fix should be cherry-picked into (this may or may not happen depending on risk/complexity).",0
about_1y,24102,https://github.com/argoproj/argo-cd/pull/24102,fix: `kustomize edit add component` check (#24100) (cherry-pick 3.1),"Checklist:

 Either (a) I've created an enhancement proposal and discussed it with the community, (b) this is a bug fix, or (c) this does not need to be in the release notes.
 The title of the PR states what changed and the related issues number (used for the release note).
 The title of the PR conforms to the Title of the PR
 I've included ""Closes [ISSUE #]"" or ""Fixes [ISSUE #]"" in the description to automatically close the associated issue.
 I've updated both the CLI and UI to expose my feature, or I plan to submit a second PR with them.
 Does this PR require documentation updates?
 I've updated documentation as required by this PR.
 I have signed off all my commits as required by DCO
 I have written unit and/or e2e tests for my change. PRs without these are unlikely to be merged.
 My build is green (troubleshooting builds).
 My new feature complies with the feature status guidelines.
 I have added a brief description of why this PR is necessary and/or what this PR solves.
 Optional. My organization is added to USERS.md.
 Optional. For bug fixes, I've indicated what older releases this fix should be cherry-picked into (this may or may not happen depending on risk/complexity).",0
